case_id,scenario,family,total_marks,contract_version,question_id,student_question,student_answer,photo_path,artifact_provenance,submission_mode,teacher_status,teacher_mark,teacher_diagram,teacher_explanation,teacher_readability,teacher_rule_ids,teacher_notes,teacher_reviewer,teacher_reviewed_at,teacher_blinded
cal-01,Complete compatible subsidy pair,demand_supply,4,economics-diagram-contract-v1,synthetic-cal-q01,"Using a demand and supply diagram explain how a subsidy paid to bicycle producers changes equilibrium price and quantity.","The subsidy lowers unit production costs so supply increases. At the original price a surplus appears; price falls and equilibrium quantity rises.",private/diagram-calibration/cal-01.png,planned_synthetic,text_and_diagram,pending,,,,,,,,,
cal-02,Confirmed omission with developed explanation,demand_supply,4,economics-diagram-contract-v1,synthetic-cal-q02,"Using a demand and supply diagram explain how a tax on disposable cups changes equilibrium price and quantity.","The tax raises firms' unit costs and contracts supply. The resulting shortage at the old price raises the consumer price and lowers equilibrium quantity.",,planned_synthetic,confirmed_written_only,pending,,,,,,,,,
cal-03,Diagram-only attempt without filler,demand_supply,4,economics-diagram-contract-v1,synthetic-cal-q03,"Using a demand and supply diagram explain how increased household incomes affect the market for a normal good.",,private/diagram-calibration/cal-03.png,planned_synthetic,diagram_only,pending,,,,,,,,,
cal-04,Missing single task-relevant axis label,demand_supply,4,economics-diagram-contract-v1,synthetic-cal-q04,"Using a demand and supply diagram explain how lower input costs affect the market for reusable bottles.","Lower input costs increase supply. Equilibrium price falls while quantity rises.",private/diagram-calibration/cal-04.png,planned_synthetic,text_and_diagram,pending,,,,,,,,,
cal-05,Wrong macro axis label,ad_as,4,economics-diagram-contract-v1,synthetic-cal-q05,"Using an AD/AS diagram explain the short-run effect of an economy-wide rise in energy costs.","Higher energy costs reduce short-run aggregate supply. The average price level rises and real output falls.",private/diagram-calibration/cal-05.png,planned_synthetic,text_and_diagram,pending,,,,,,,,,
cal-06,No movement arrow but direction established,currency,4,economics-diagram-contract-v1,synthetic-cal-q06,"Using a currency-market diagram explain how greater foreign demand for a country's exports can affect its floating exchange rate.","Foreign buyers require more domestic currency to pay exporters. Currency demand rises and the currency appreciates.",private/diagram-calibration/cal-06.png,planned_synthetic,text_and_diagram,pending,,,,,,,,,
cal-07,Alternative conventional exchange-rate notation,currency,4,economics-diagram-contract-v1,synthetic-cal-q07,"Using a currency-market diagram explain how reduced overseas tourism spending in a country affects its floating currency.","Visitors purchase less of the domestic currency. Demand for it falls and it depreciates.",private/diagram-calibration/cal-07.png,planned_synthetic,text_and_diagram,pending,,,,,,,,,
cal-08,Independently valid incompatible inflation mechanisms,ad_as,4,economics-diagram-contract-v1,synthetic-cal-q08,"An economy experiences rising prices. Using an AD/AS diagram explain one possible cause of inflation.","Greater consumer confidence raises household spending and aggregate demand. The price level rises as firms expand output in the short run.",private/diagram-calibration/cal-08.png,planned_synthetic,text_and_diagram,pending,,,,,,,,,
cal-09,Root direction error with coherent own-figure explanation,demand_supply,4,economics-diagram-contract-v1,synthetic-cal-q09,"Using a demand and supply diagram explain how a producer subsidy affects equilibrium in the market for buses.","The subsidy shifts supply left as shown. The resulting shortage raises price and reduces equilibrium quantity.",private/diagram-calibration/cal-09.png,planned_synthetic,text_and_diagram,pending,,,,,,,,,
cal-10,Root error plus independent explanation error,demand_supply,4,economics-diagram-contract-v1,synthetic-cal-q10,"Using a demand and supply diagram explain how a producer subsidy affects equilibrium in the market for school meals.","The subsidy shifts supply left as shown. Price rises and quantity rises because households can afford more meals.",private/diagram-calibration/cal-10.png,planned_synthetic,text_and_diagram,pending,,,,,,,,,
cal-11,Whole photograph unreadable,externality,4,economics-diagram-contract-v1,synthetic-cal-q11,"Using an externality diagram explain why unregulated noise pollution from factories can cause overproduction.","Nearby households bear noise costs that factories do not pay. Marginal social cost exceeds marginal private cost so market output exceeds socially efficient output.",private/diagram-calibration/cal-11.png,planned_synthetic,text_and_diagram,pending,,,,,,,,,
